Commences 6th May 1951,,,,,,,,,,,
Miles,,,am,am,pm,pm,pm,pm,pm,pm,pm
0,Havant,dep,1035,1135,1235,135,235,335,535,635,735
1,Langston,,1038,1138,1238,138,238,338,538,638,738
2.5,North Hayling,,1042,1142,1242,142,242,342,542,642,742
4.5,Hayling Island,arr,1048,1148,1248,148,248,348,548,648,748
